hour_of_year,month,hour,lrmer_co2e_c,synthetic
190,1,22,303.89478620000364,False
191,1,23,313.74427787087683,False
192,1,0,316.1346014972296,False
193,1,1,315.7844206456894,False
194,1,2,314.4231727330503,False
195,1,3,316.28324315449163,False
196,1,4,317.3575603691424,False
197,1,5,315.7404423746368,False
198,1,6,310.94451838650144,False
199,1,7,227.49207780773082,False
200,1,8,180.23719697095333,False
201,1,9,181.11046627629355,False
202,1,10,187.01889146747556,False
203,1,11,187.11180398711753,False
204,1,12,193.6221677506387,False
205,1,13,173.7295454952311,False
206,1,14,173.55188460897455,False
207,1,15,173.800436462698,False
208,1,16,223.33939000597715,False
209,1,17,310.29574977847113,False
210,1,18,319.0482866142592,False
211,1,19,318.40640155830874,False
212,1,20,312.5766607537096,False
213,1,21,304.7167902848796,False
214,1,22,303.89478620000364,False
215,1,23,313.74427787087683,False
216,1,0,316.1346014972296,False
217,1,1,315.7844206456894,False
218,1,2,314.4231727330503,False
219,1,3,316.28324315449163,False
220,1,4,317.3575603691424,False
221,1,5,315.7404423746368,False
222,1,6,310.94451838650144,False
223,1,7,227.49207780773082,False
224,1,8,180.23719697095333,False
225,1,9,181.11046627629355,False
226,1,10,187.01889146747556,False
227,1,11,187.11180398711753,False
228,1,12,193.6221677506387,False
229,1,13,173.7295454952311,False
230,1,14,173.55188460897455,False
231,1,15,173.800436462698,False
232,1,16,223.33939000597715,False
233,1,17,310.29574977847113,False
234,1,18,319.0482866142592,False
235,1,19,318.40640155830874,False
236,1,20,312.5766607537096,False
237,1,21,304.7167902848796,False
238,1,22,303.89478620000364,False
239,1,23,313.74427787087683,False
240,1,0,316.1346014972296,False
241,1,1,315.7844206456894,False
242,1,2,314.4231727330503,False
243,1,3,316.28324315449163,False
244,1,4,317.3575603691424,False
245,1,5,315.7404423746368,False
246,1,6,310.94451838650144,False
247,1,7,227.49207780773082,False
248,1,8,180.23719697095333,False
249,1,9,181.11046627629355,False
250,1,10,187.01889146747556,False
251,1,11,187.11180398711753,False
252,1,12,193.6221677506387,False
253,1,13,173.7295454952311,False
254,1,14,173.55188460897455,False
255,1,15,173.800436462698,False
256,1,16,223.33939000597715,False
257,1,17,310.29574977847113,False
258,1,18,319.0482866142592,False
259,1,19,318.40640155830874,False
260,1,20,312.5766607537096,False
261,1,21,304.7167902848796,False
262,1,22,303.89478620000364,False
263,1,23,313.74427787087683,False
264,1,0,316.1346014972296,False
265,1,1,315.7844206456894,False
